ID#,2 Names, Êrelation#,name of relation,Corp #,Corp,Full name of Corporation,Type of business,Miscellaneous info
229595,Ricardo  Reyes,101,CFO,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,
362844,Francisco  Mackenna,102,Director,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,
362840,Guillermo  Luksic,103,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,Prim: Banco de Chile
49372880,John  Nicolson,104,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,Prim: Heineken NV
46398491,Armin  Kunstmann,105,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,
508695,Andronico  Craig,106,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,Prim: Sociedad Matriz del Banco de Chile
8009595,Philippe  Pasquet,107,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,
508322,Manuel  Eyzaguirre,108,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,Prim: Quinenco S.A.
9767922,Jorge  Santos,109,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,"Prim: Fomento Econ—mico Mexicano, S.A.B de C.V"
206225845,Carlos  Molina,110,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,
776340,Vittorio  Lioi,111,BoD,9,CCU:CI,Compa–’a Cervecer’as Unidas,Beverages,Prim: Banco Santander-Chile
34186847,Pablo  Guarda,112,CEO,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
182120192,Juan  Vald_s,113,Head of Investor Relations,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081629,Hornauer  Luis,114,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081627,Jose  Lopez,115,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081633,Guillermo  Fuenzalida,116,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081635,Perez  Jose,117,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081637,Manuel  Iriondo,118,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081639,Francisco  Est_vez,119,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,
26081641,Jorge  Correa,120,BoD,10,CGE:CI,Compa–’a General de Electricidad,Electricity,Prim: Banco Security SA
8077633,Arturo  Quiroz,121,CEO,11,CHILE:CI,Banko de Chile,Banks,
46496709,Pedro  Samhan,122,CFO,11,CHILE:CI,Banko de Chile,Banks,
99927849,Patricio  Guerrero,123,MOTD,11,CHILE:CI,Banko de Chile,Banks,
46238643,Jorge  Ib‡–ez,124,CEO,11,CHILE:CI,Banko de Chile,Banks,
35383079,Oscar  Castellon,125,RCM,11,CHILE:CI,Banko de Chile,Banks,
395889,Pablo  Lavin,126,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: Quinenco S.A.
100460770,Francisco  Silva,127,BoD,11,CHILE:CI,Banko de Chile,Banks,
371067,Jorge  Mehech,128,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: LAN Airlines S.A.
1992492,Guillermo  Craig,129,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: Madeco S.A
508695,Andronico  Craig,130,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: Sociedad Matriz del Banco de Chile
362844,Francisco  Mackenna,131,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: Quinenco S.A.
1152174,Gonzalo  Duque,132,BoD,11,CHILE:CI,Banko de Chile,Banks,"Prim: Banco Latinoamericano de Comercio Exterior, S.A"
13619880,Jorge  Heymann,133,BoD,11,CHILE:CI,Banko de Chile,Banks,
33447488,Jaime  Valencia,134,BoD,11,CHILE:CI,Banko de Chile,Banks,
40085241,Raœl  Elizalde,135,BoD,11,CHILE:CI,Banko de Chile,Banks,
27880234,Fernando  Ureta,136,BoD,11,CHILE:CI,Banko de Chile,Banks,"Prim: Citigroup, Inc."
1992513,Rodrigo  Moltedo,137,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: LQ Inversiones Financieras S.A.
23074868,Thomas  Freiwirth,138,BoD,11,CHILE:CI,Banko de Chile,Banks,Prim: Sociedad Matriz del Banco de Chile
8742768,Hern‡n  Rodr’guez,139,CEO,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
8742755,Eliodoro  Larra’n,140,President,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
59364624,Luis  C.,141,CFO,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
8742772,Jorge  D.,142,CAO,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
59365211,Francisco  E.,143,MD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
8742759,Pedro  Schlack,144,GM,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
20611135,T.  Infante,145,GM,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
20880440,B.  Morel,146,MD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
113263756,M.  Larra’n,147,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
8742780,Arturo  I–iguez,148,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,Prim: Colbun S.A.
8742762,Jorge  Bunster,149,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
8742766,Marin  Eduardo,150,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
